Jahr;Originaltitel;Sprache;lemmatisierter Titel
2015;Structures de parenté et processus d’identification dans la Lotharingie des Xe et XIe siècles. Le cas du groupement familial dit « d’Ardenne »;Französisch;structure parenté processus identification lotharingie  cas groupement familial dit ardenne
2016;Aachen – Mailand – Rom – Jerusalem. Die Luxemburger als Kaiserdynastie. Die Kaiserkrönung Heinrichs VII. in den maas-Moselen Quellen;Deutsch;aachen mailand rom jerusal luxemburger kaiserdynastie kaiserkrönung heinrich maas Mosel
2017;Identités monastiques dans un monde bouleversé. Représentations identitaires dans la Chronique de Saint-Hubert dite Cantatorium (diocèse de Liège, début XIIe s.);Französisch;identité monastique monde bouleversé représentation identitaire chronique saint hubert dite cantatorium diocèse liège début
2017;lotharingie als Reformraum (10. bis Anfang des 12. Jahrhunderts). Einige einleitende Bemerkungen zum Gebrauch räumlicher und religiöser Kategorien;Deutsch;lotharingie reformraum anfang  einig einleitend bemerkungen gebrauch räumlich religiös kategorien
2017;Pour une redéfinition dynamique des relations entre comtes et abbayes (fin IXe-fin XIe siècle). Conclusions;Französisch;redéfinition dynamique relation comte abbaye fin fin  conclusion
2017;The territorial principalities in lotharingie;Englisch;territorial principality lotharingie
2018;Préface;Französisch;préface
2018;Zwentibold, roi (895-900) et Gislebert, duc (928-939) du royaume de Lothaire. Pouvoir et légitimation, histoire et mémoire;Französisch;zwentibold roi gislebert duc royaume lothaire pouvoir légitimation histoire mémoire
2018;Châteaux et prieurés vers 1100 en Lotharingie centrale. De la dynamique de la fondation aux rapports ambivalents. Useldange et les autres;Französisch;château prieuré lotharingie centrale dynamique fondation rapport ambivalent useldange
2018;Au nom du comte. Quelques réflexions sur les modes d’inscription du pouvoir comtal dans l’espace lotharingie (Xe-XIIe siècle);Französisch;nom comte réflexion mode inscription pouvoir comtal espace lotharingie 
2018;Quelle est la “valeur” du premier État Luxemburgeois ? L’origine des opérations comptables dans le comté de Luxemburg (1306-1322);Französisch;est valeur premier état Luxemburgeois origine opération comptable comté Luxemburg
2018;Du nouveau de la recherche. L’Europe de la dynastie des Luxemburg (III). En route vers l’Empire. Pour une relecture des débuts de l’entreprise italienne d’Henri VII de Luxemburg (1309-1311);Französisch;nouveau recherche europe dynastie Luxemburg route empire relecture début entreprise italienne henri Luxemburg
2019;Les Adalbéron – un lignage « épiscopal » ? Fonction épiscopale et structuration parentale en Lotharingie (Xe-XIe siècle);Französisch;adalbéron lignage épiscopal fonction épiscopale structuration parentale lotharingie 
2019;Wem gehört Johann, Graf von Luxemburg und König von Böhmen ? Grabstätte und Erinnerungspolitik in wandelnden Zeiten des Nation-Building;Deutsch;wem gehört johann graf luxemburg könig böhmen grabstätte erinnerungspolitik wandelnden zeiten nation building
2019;Klostervogtei zwischen monastischem Diskurs und bilateraler Aushandlung am Beispiel des zentralen lotharingieen Raums (10. bis Anfang 12. Jahrhundert);Deutsch;klostervogtei monastisch diskurs bilateral aushandlung beispiel zentral lotharingie raums anfang 
2019;Verschriftlichung und Institutionalisierung der Herrschaftspraxis. Zwei Seiten einer Medaille ? Zur Entwicklung fürstlicher Herrschaft am Beispiel der Grafen von Luxemburg (Ende des 12. bis Anfang des 14. Jahrhunderts);Deutsch;verschriftlichung institutionalisierung herrschaftspraxis zwei seiten medaille entwicklung fürstlich herrschaft beispiel graf luxemburg ende anfang 
2019;La voix du peuple ? Vote et élection avant la démocratie à travers le cas du Luxemburg au Moyen Âge et dans la première modernité;Französisch;voix peuple vote élection démocratie traver cas Luxemburg moyen âge premier modernité
2020;L’avouerie en Lotharingie. Le « moment comtal » (deuxième moitié du XIe-début du XIIe s.);Französisch;avouerie lotharingie moment comtal deuxième moitié début
2020;La grande expédition. Il y a 750 ans. Henri V, comte de Luxemburg, la croisade de Louis IX et le tournant français de la politique des Luxemburg;Französisch;grande expédition ans henri comte Luxemburg croisade louis tournant français politique Luxemburg
2020;„In ditione et mundiburdio imperii“. Herrscherurkunden für das Kloster Echternach zwischen Tradition und Reform;Deutsch;ditione mundiburdio imperii herrscherurkunde kloster echternach tradition reform
2020;Das “Kreuzzugstestament” Graf Heinrichs V. von Luxemburg (1270). Dynastische Konsolidierung und erste französische Ausrichtung der Politik der Luxemburger im 13. Jahrhundert;Deutsch;kreuzzugstestament graf heinrich luxemburg dynastisch konsolidierung erste französisch ausrichtung politik luxemburger 
2020;Michel Parisse et le Luxemburg : un des plus grands médiévistes français nous a quittés;Französisch;michel parisse Luxemburg grand médiéviste français quitté
